source_text,sentenceID,sentence,asih,nyakitang,kaadilan,kacurangan,setya,ngianat,wewenang,ngalawan tatanan,kasucian,kakotoran,kabebasan,panindasan
Bengu Mati,24, Keto sai-sai kanti bangkene berek tur bonne bengu pesan,0,0,0,0,0,0,0,1,0,1,0,0
Bé Bano,62,"Lantas, Suba kone telah lantas payuke pantiganga di jalikane kanti belah saking pidabdabane.",0,1,0,0,0,0,0,0,0,0,0,1
Lutung tekén Kancil,46, Suba keto ia buin ngomong,0,0,0,0,0,0,0,0,0,0,0,0
Yuyu Misi Enjekan Kebo Ditunduné,24,"Ring semeng punika, Gelisin satua enggal dipondok I Pekak dukuh ngorin cucune niluh kancrung kapeken meli basa lakar nampah I Kekua anggona lawar mara keto dingeha kone munyine I Pekak dukuh keto teken I Kekua ditu ia sedih nyelselin padewekan Uduh ratu Sang Hyang Parama Kawi dados sapuniki sane panggihin titiang dadi ati I lutung nguluk - nguluk titiang tan buungan titiang ngemasin mati Ratu",0,1,1,0,0,0,1,0,0,0,0,1
I Lutung Maborbor,27, Sakewala ada panagih icange,0,0,0,0,0,0,0,0,0,0,0,0
Pan Balang Tamak,18, kacerita Pan Balang Tamak suba teka lantas klihan desane makruna Ih Pan Balang Tamak jani cai kena danda,0,0,0,0,0,0,0,0,0,0,0,0
Yuyu Misi Enjekan Kebo Ditunduné,15,"Satondenne, Nepukin I Pekak dukuh teka I Kekua macelep dibeten tengkulake nepukin I Kekua macelep di beten tengkulake I Lutung magending",0,0,0,1,0,1,0,0,0,0,0,0
Timun Mas,43, Kriut gedebleg jlanane kaampakang,0,0,0,0,0,0,0,0,0,0,0,0
Pan Angklung Gadang,17, Nglajur pamargin Ida critanan rauh suba di bancingah raris tedun Ida saking kuda mangraris Ida ka purian,0,0,0,0,0,0,0,0,0,0,0,0
I Kecut,9, Dewa Ratu ne dadi mati I Dadong bas melide suba orahin sampi rengas enu masih kauk-kauk nakonang dagdag Sawireh I Kecut ining kematian Dadong Getgete lakar liu nelasang prebaya raris ipun masasangi Dadong Dadong madak ja Dadong idup lakar anggon tiang joged,0,0,0,0,0,0,0,0,0,0,0,1
I Cicing Gudig,38,"Ring wengi punika, Patuh lantas gobanne I Cicing Gudig buka warnanida Raden Mantri ring genah punika.",0,0,0,1,0,0,0,0,0,0,0,0
Yuyu Misi Enjekan Kebo Ditunduné,14,Sedeng itepe I Lutung ngamah biu saget teka I Pekak ngaba arit,0,0,0,0,0,0,1,0,0,0,0,0
Pan Poleng,86, Kacerita Pan Poleng tekening Men Poleng negeh- negehang kasugihane tusing kurangan mas iya,0,0,0,0,0,0,0,0,0,0,0,0
I Celempung,39, Cicing titiange puniki prasida masuang pipis sabilang semengan keto I Celempung mamunyi di arep krama banjare makejang,0,0,0,0,0,0,0,0,1,0,0,0
Bé Bano,11, Keto raosne I Blenjo,0,0,0,0,0,0,0,0,0,0,0,0
I Lengar,57, Dugas I Widara nanem bangken I Lengare ane kaping pitu ia mitaen bangken I Lengare bangke sakti suba matanem bisa mawali ka tongosne i tunian,0,0,0,0,0,0,0,0,0,0,0,0
Sang Rama Ngemit Tapasui,2, Raris rauh ring gunung Citrakuta kairing antuk Ida Sang Laksmana miwah Ida Dewi Sita,0,0,0,0,0,0,0,0,0,0,0,0
I Kidang,31,"Ring wengi punika, Kasautin ban I Kidang Aduh Cai Bojog apa Cai nenten mapineh malu memunyi Kaden Cai awak Caine nyidang ngalahang I Macan ane gece siteng totonan Yen nglawan malaib-laiban sinah I Macan ane menang",0,0,0,0,0,0,0,1,0,0,0,0
I Siput lawan I Kancil,28, enggalang dik Kancil,0,0,0,0,0,0,0,0,0,0,0,0
Lutung dadi Pecalang,31, I Singa ngeraos ih I Lutung adakeh iba nepukin pakeweh nabdabang gumine I Lutung mesaut nawegan sang prabu ipun lembu sane purun tempal ring iratu manah ioune mebalik ipun jagi ngadu ring iratu,0,0,0,0,0,0,0,0,0,0,0,0
I Kasiapa Kepuh,31,Nepukin unduke buka keto ditu lantas I Paksi Gagak dahat sebet sawireh I Kasiape Kepuh nenten satya semaya tur masawitra ngajak anak drowaka cara I naga Taksaka sane kaliwat degag tur bonggan sing ja buungan ia jagi nepukin pakeweh tur mati ulian laksanane ane ten satya,0,1,0,1,0,1,0,0,0,0,0,0
Galuh Pitu,70,"Sasampune punika, Keto masih entip nasine tur leluu dedaaran ane lenan makejang kadugdugang di jit I Raksasa ane sedeng pules",0,0,0,1,0,0,0,0,0,1,0,0
I Empas tekén I Angsa,47, Ento tusing ja len teken tain sampi tuh kakeberang angsa,0,0,0,0,0,0,0,0,0,1,0,0
Ni Daha Tua,6, Asapunika sadina-dina pakaryan Ni Daha Tua,0,0,0,0,1,0,0,0,0,0,0,0
Belibis Putih,84, Sawireh aluh pesan antuk ida ngayunin,0,0,0,0,0,0,0,0,0,0,0,0
Bhagawan Domia,12, Keto pawuwus Ida Bhagawan Domia ring Sang Arunika,0,0,0,0,0,0,0,0,0,0,0,0
I Kerug,2, Gegaene I Kerug sawai-wai tuah matajen utawi majudi dogen,0,0,0,0,0,0,0,1,0,0,0,0
Dadong Jepun,72, Icang anak milu-milu dogen Dong,0,0,0,0,0,0,0,1,0,0,0,0
Sampi Wadak,286, Tan carita I Raden Galuh sedih kocap Ida Raden Mantri teken Raden Galuh suba mamargi ngamantukang kairing baan iringan Idane makejang,0,0,0,0,0,0,0,0,0,0,0,0
Bengu Mati,2,"Ring semeng punika, Sawireh ia belog geginanne tuah malali teken madaar dogen",0,0,0,0,0,0,0,1,0,0,0,0
Bintang Lara,14, Lantas ngandika Ida Anake Agung Ih iba parekan yaning keto kema alih I Bintang Lara ajak mai Inggih titiang ngiring sandikan Cokor Dewa,0,0,0,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,30, Masaut I Donglen Nah Luh masare suba maluan icang bin kejepan kadong matan icange ulap sing bani teken damar,0,1,0,0,0,0,0,0,0,0,0,0
Sang Nandaka muah Prabu Singa Kapisuna,9, Ditu lantas paum di batan kayu kalikukune,0,0,0,0,0,0,0,0,0,0,0,0
Jero Dalang,20, Raris ipun matur ring gurun pagep nakenin indik dane olih rarene punika gurun pagep nuturin saking awit pamargin dane ngantes olih ngrebutin rarene punika,0,0,0,0,0,0,0,0,0,1,0,0
I Sampi masuwitra ajak Goak,11, Gak,0,0,0,0,0,0,0,0,0,0,0,0
I Celempung,34, Ih Celempung to ngudiang cicing anggon boreh,0,0,0,0,0,0,0,0,0,0,0,0
I Lelipi tekén Sang Garuda,28,"Sasampune punika, Rauh lantas Ida batara Wisnu mamaling amertane ene malih bakta Ida ke Wisnuloka",0,0,0,1,0,0,0,0,0,0,0,0
Ni Daha Tua,33, I rika ipun bengong ngon ngantenang sudagare ngadol sarwa sane melah-melah,0,0,0,0,0,0,0,0,0,0,0,0
Ni Dukun Sakti,2, kacerita Ida Sang Prabu Daha madue taman pingit gati,0,0,0,0,0,0,0,0,0,0,0,0
I Tuung Kuning,10,"Lantas, Kacerita I Pudak lakar luas ka dajan gunung mabesen kone ia teken kurenane Wayan Wayan mani wake lakar luas joh ne nyai kene beling gede wake tonden karoan makelone luas sing satonden teka nyai suba ngelah panak lamun muani anake cerik melahang men miara lamun luh matiang dogen tendasne tektek baang kurungane makejang pada abedik",0,1,0,0,0,0,0,1,0,1,0,1
I Kerug,44,"Lantas, Ditu ia maan ngadep carikne aji duang dasa yuta ring genah punika.",0,1,0,0,0,1,0,0,0,0,0,0
Angsa tekén Kerkuak,17,Majalan lantas I Angsa ngajak I Kerkuak mulih nanging disubane I Angsa neked jumah I Kerkuak malipetan kema ka Tukad Dangin Desa ring waktu punika.,0,0,0,1,0,1,0,1,0,1,0,0
I Kecut,11, Raris ipun masasangi malih Yan nyak Dadong idup lakar upahang tiang wayang,0,0,0,0,0,0,1,0,0,0,0,0
Radén Jajarpikatan,23, Wus punika raris mamargi ka pasar,0,0,0,0,0,0,0,0,0,0,0,0
Pan Balang Tamak,2, kacerita ia sugih pesan tur ririh makruna muah tuara nyak kalah teken pada timpalne di desa totonan,0,0,0,0,0,0,0,0,0,0,0,0
Sang Aji Dharma,25, Mabaos Ida Sang Prabu Sing ada apa adi Beli ngedekin cekceke ane macanda ajaka muanine di temboke,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,90, Anggon awake gena ngengkebang raden galuh,0,0,0,0,0,0,0,0,0,1,0,0
Bé Bano,95, Lantas mulih I Nyoman Jater negen tendas celenge ento,0,0,0,0,0,0,0,0,0,0,0,0
Siap Selem,40, Cening Doglagan jani Meme lakar ngalahin cening dini,0,1,0,0,0,0,0,0,0,0,0,0
I Balu Kawanan tekén I Balu Kanginan,48,Kacerita ada sawatara dasa dina I Balu Kawanan nenten taen kema ka umah I Balu Kanginan baase ene suba telah baana nyakan teken I Balu Kanginan sakadi punika kahanane.,0,0,0,0,0,1,0,0,0,0,0,0
I Donglen teken Luh Arum,99, Wireh keto dawa dadi uyute Luh Arum malilingan I Donglen marasa jengah tur lek pesan atinne lantas Ia ngenggalang ngediang awakne,0,1,0,0,0,0,0,0,0,0,0,0
Arjuna Nangun Tapa,3, Niwatakawaca kalintang sakti dane polih panugrahan Sang Hyang Rudra nenten seda olih detia danawa raksasa miwah dewa,0,0,0,0,0,0,0,0,0,0,0,0
Yuyu Misi Enjekan Kebo Ditunduné,32, kruet maekin I Kekua turmaning mapajar Ih Kekua to,0,0,0,0,0,0,0,0,0,0,0,0
Lutung dadi Pecalang,40, I Lelasan encol makecos ka tunggak tinge I Singa ngangsebang,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,2, Prabhune di Koripan madue masih oka asiki nanging ilang,0,0,0,0,0,0,0,0,0,0,0,0
Arjuna Nangun Tapa,11,Sang Hyang Indra raris ngutus widiadarine sane ayu-ayu pitung diri minakadi dedari Supraba miwah Tilottama manda ngoda tapan Sang Arjunane ring desa ento.,0,0,0,0,0,0,0,0,1,0,0,0
Siap Sangkur Metaluh Mas,66, Yan kanti buin telun tusing mataluh bakal tampah,0,1,0,0,0,0,0,0,0,0,0,0
Dadong Jepun,8, Yening peteng Dadong Jepun masare di bale tiinge masaput kamben uek,0,1,0,0,0,0,0,0,0,0,0,0
I Congeh Kacunduk Ratun Segara,23, napi sane katiben ring dewek tiange mangkin keto kenehne l Congeh,0,1,0,0,0,0,0,0,0,0,0,0
Maya Danawa,21, Sakewala sengkala nibenin panjake nginum toya ane suba kaisinin cetik ban I Kala Wong,0,0,0,1,0,0,0,1,0,0,0,1
Maya Danawa,21,"Ring semeng punika, Sakewala sengkala nibenin panjake nginum toya ane suba kaisinin cetik ban I Kala Wong",0,0,0,1,0,0,0,1,0,0,0,1
Sampik Ingtai,29,Duk Ni Nyonyah suba mamargi sajeroning upacara pawiwahan sareng I Bandar Macun ring tengahing margi tedun ajebos ring kuburan I Babah Sampik raris sembahyang ring ajeng kuburan I Babah Sampik,0,1,0,0,1,0,0,1,0,0,0,0
Bé Jeleg Tresna Telaga,4,Sekancan kembange sane suba layu samian sekar-sekar miik punika ulung ke Telagane waluya kadi pasraman Ida Betara Yama,0,0,0,0,0,0,0,0,1,0,0,0
Bé Bano,66,"Sasampune punika, Ngregeh I Blenjo nyautin I busan kuluke makerah di paon sakadi punika kahanane.",0,0,0,0,0,1,0,0,0,0,0,0
I Belog Ngantén Ajak Bangké,15, I Belog lantas makeneh-keneh Eh jenenga ia lek mara tongosin melahang jani kalahin,0,0,0,0,0,0,0,0,0,0,0,0
I Ubuh,29, I Ubuh sada adeng mesaut Pekak pocol tiang tan polih udang mangkin,0,1,0,0,0,0,0,0,0,0,0,0
Sang Aji Dharma,15, Jani bapa lakar ngicenin I Dewa waranugraha apang I Dewa wikan ring saluir suaran satone sami nanging kalintang singid,0,0,1,0,0,0,0,0,0,0,0,0
I Sampi masuwitra ajak Goak,40, Makejang timpalne tusing nyak nulungin kerana jejeh sakitne I Sampi nglalahin,0,1,0,0,0,0,0,0,0,0,0,0
Pangangon Sampi,40, Kanti godele ento suba dadi gede Pan Mangut enu ngidaang negen,0,0,0,0,0,0,0,0,0,0,0,0
Siap Selem,24, Cening ajak mekejang petenge ene iraga lakar pesta besar,0,0,0,0,0,1,0,0,0,1,0,0
Cicing Alas Ngalih Balian,1,Suba uling limang dina Cicing Alas majalan sambilanga ngeling,0,1,0,0,0,0,0,0,0,0,0,0
Lutung dadi Pecalang,8, Tiang nenten uning sane ngawinang jerone sane patut ngayunin sampunang uju-uju duka ring dewek titian,0,1,0,0,0,0,0,0,0,0,0,0
Pan Jempenit tekén Mén Jempenit,75, Keto kone timpalne,0,0,0,0,0,0,0,0,0,0,0,0
Pan Balang Tamak,75,"Lantas, Gelisang cerita suba Pan Balang Tamak mati ngamah cetik paican anake agung",0,0,1,0,0,0,0,0,0,1,0,0
I Belog Kadéna Jaruh,37, Yen lakar nganten sinah anak luh ane pantes anggon kurenan,0,0,0,0,0,0,0,0,0,0,0,0
Mén Sugih tekén Mén Tiwas,37,"Satondenne, Manine Men Sugih ngemalunin luas ke alase Men Sugih nyaru-nyaru buka anak tiwas krasak-krosok ngalih saang teken paku",0,0,0,1,0,1,0,0,0,0,0,0
Sang Aji Saka,6, Gelisang satua Sang Aji Saka sampun duur tur madue pusaka keris kadulurin parekan kakalih sane mawasta I Sambada sareng I Dora,0,0,0,0,0,0,0,0,0,0,0,0
I Lasan,1,Dugase i malu kacerita di gumine konden ade jelema mara ade taro tekening buron dogen,0,0,0,0,0,0,0,0,0,0,0,0
I Botol tekén Sang Samong,28, Sing buungan kai lakar enggal ngemasin mati,0,1,0,0,0,0,0,0,0,0,0,0
Bojog Jegég,39, Angin danune dingin manulang,0,0,0,0,0,0,0,0,0,0,0,0
I Botol tekén Sang Samong,25,Beneh pesan buka pamunyin ibane Samong ngorahang manusane tuara bisa males legan anak pantes sampun iba ngamah buka ia I manusa,0,0,0,1,0,1,0,0,0,0,0,0
I Mencéng Ajak I Polos,38, I Polos ngeling ked di jumahne,0,1,0,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,138, Munyinne suba ngarwanang anak len,0,0,0,0,0,0,0,0,0,0,0,0
I Bikul tekén I Semal,20, Buin ngomong I Semal Nah jani ada carane icang ajak Cai jani ngekadaya pang nyidang nginum susune ento,0,0,0,1,0,0,0,1,0,0,0,0
I Kecut,45,Man kenken Kecut dadi nenten ajaka pules deweke,0,0,0,0,0,1,0,0,0,0,0,0
Katuturan Gajah ané Nyapa Kadi Aku,13, Sapunika luir tuturnyane I Siung muani,0,0,0,0,0,0,0,0,0,0,0,0
Kambing Takutin Macan,43, I Bojog bragedegan,0,0,0,0,0,0,0,0,0,0,0,0
Pan Angklung Gadang,100, Nah suba kone tengai kacerita suba kone suud mlebengan tur pragat ngadonang lawar jejeruk gegecok jukut makejang suba pada pragat lantas Pan Angklung Gadang ngomong teken kurenanne Memenne ne laware wadahin cubek kema pejang di langgatan paone Ne nasine telung sok kema pejang di langgatan mambenge Ne jukute pejang di tengah glebege Ne jani critayang anake masangkepan di bale banjare suba uling i tuni nuduk putra dedandan ento suba pragat makejang,0,0,0,0,0,0,0,0,0,0,0,0
Bojog Jegég,11,"Ring semeng punika, Bhatara Wisnu tedun tur masabda",0,0,0,0,0,0,0,0,1,0,0,0
Pan Jempenit tekén Mén Jempenit,102, Ento lantas sarapa teken i meong laut bakatannga,0,0,0,0,0,0,0,0,0,0,0,1
I Kidang,31,"Ring wengi punika, Kasautin ban I Kidang Aduh Cai Bojog apa Cai tusing mapineh malu memunyi Kaden Cai awak Caine nyidang ngalahang I Macan ane gece siteng totonan Yen nglawan malaib-laiban sinah I Macan ane menang",0,0,0,0,0,0,0,1,0,0,0,0
Dadong Jepun,28, Disirepne ento Dadong Jepun mangipi makeber ngindang di langite,0,0,0,0,0,0,0,0,0,0,1,0
Dadong Jepun,95, Rasa bagia I dewek nepukin anak ngelah pikenoh asih trensa buka Dadong,1,0,0,0,0,0,0,0,0,0,0,0
I Celempung,21, Kelian banjar nyambat adane I Celempung,0,0,0,0,0,0,0,0,0,0,0,0
I Siput lawan I Kancil,1,kacerita ring alase wenten buron madan I Kancil,0,0,0,0,0,0,0,0,0,0,1,0
I Wingsata tekén I Sigara,38, Saja ia kapica pusaka merupa keris cenik maluk pitu kone madan Pusaka Ki Buyut Luwah,0,0,0,0,0,0,0,0,0,0,1,0
I Ubuh,31, Nyanan pacang tongosin tiang di tukade,0,0,0,0,0,0,1,0,0,0,0,0
I Belog pengangon Bébék,50, Ne mara jadma patut,1,0,0,0,0,0,0,0,1,0,0,0
Siap Sangkur Metaluh Mas,30, Pipisne beliange baas duang ceeng muah jagung mapikpik duang ceeng muah jagung mapikpik duang kobok,0,0,0,0,0,0,0,0,0,0,0,0
I Bikul tekén I Semal,13, I Bikul tusing nawang nyen ane madan I Semal jeg saget baanga orta keketo tandruh kone I Bikul tur mesaut Yen sujatine Cai dadi mara tepukin jeg saha ngaku dadi penyamaan icange dini Engsap Cai teken pasubayan leluhure pidan Bikul ngajak Semal ento tuah manyama tugelan,0,0,0,0,0,1,0,0,0,0,0,0
Lutung tekén Kancil,34, Siepang bungut caine Tung,0,1,0,0,0,0,0,0,0,0,0,0
Bengu Mati,11, Memenne buin ngomong Men dija ia jani pang tawang meme I Belog buin ngomong Ento apa ia jumahan meten eda delokina malu anak ia nu kimud-kimudan lek teken meme Suud ia ngomong keto lantas ia nyinduk nasi lakar baanga kurenanne,1,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,225, Maklyeng lantas I Lutung nyaru-nyaru mulih lantas makecos ya ke nebe,0,0,0,0,0,0,0,0,0,0,0,0
I Belog Kadéna Jaruh,75, Nah nah Luh Keto I Belog masaut tur enggal tuun macelep beten longan dipane saksak-siksik tusing ja karwan apa,0,0,0,0,0,0,0,0,0,0,0,0
I Balu Kawanan tekén I Balu Kanginan,61, Tungkede amah tetani tetanme toltol siap siape teteh celeng celenge adep Nyai pipise kanggon nguup baas baase telah kajakan daara teken memen Cai,0,0,0,0,0,0,0,0,0,0,0,0
Buduh ring Ula Aya,33, Ditu raris kakedeng tur paida ajaka ka pakubonnyane,0,1,0,0,0,0,0,0,0,1,0,1
Lutung tekén Kancil,50, Apang wake tusing tawanga teken Batara Ciwa ngomong I Kancil,0,0,0,1,0,0,0,0,0,0,0,0
I Botol tekén Sang Samong,55, I Kancil masih bareng magedi,0,0,0,0,0,0,0,0,0,0,1,0
Angsa tekén Kerkuak,28, Jani ane maling maan ngamah be nah buin mani poan lara sane katemu,0,0,1,0,0,0,0,0,0,0,0,0
I Ubuh,60, Mara I Ubuh ningeh muyin tonyane keto ilang pedihne,0,0,0,0,0,0,0,0,0,0,1,0
Pan Balang Tamak,11, Keto arah-arahe teken Pan Balang Tamak,0,0,0,0,0,0,0,0,0,0,0,0
I Empas tekén I Angsa,38, Icang tuah ngidih olas pesan apang eda mamunyi angan abedik dugase makeber totonan,0,0,0,0,0,0,1,0,0,0,0,0
Sampi Wadak,194, Lebiin men abedik,0,0,0,0,0,0,0,0,0,0,0,0
I Clalongan nulungin Semut,12, Buin telunne I Clalongan makeber nambung matinggah di papah nyuhe,0,0,0,0,0,0,0,0,0,0,0,0
I Sangging Lobangkara,1,Ada tuturan satua I Sangging Lobangkara geginane gambar dogen tur dueg pesan magegambaran sai-sai kone keto dogen gegaene,0,0,0,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,132, Masaut Luh Arum uli jumahan,0,0,0,0,0,0,0,0,0,0,0,0
I Kasiapa Kepuh,38, Ia I Lelipi mawisesa tur upas ipune sing ada penawarne ento cening Nah yen I Dewa pacing ngemademang I Naga Taksaka ane jani apang I Dewa sida ngetogang panjak idewane makasami apang mesuang saang,0,0,0,0,0,0,1,0,0,0,0,0
I Ubuh,41, Udangne amaha matah-matahan,0,0,0,0,0,0,0,1,0,0,0,0
I Belog,22, Ditu lantas I Belog welanga baan memene,0,1,0,0,0,0,0,0,0,0,0,0
Pan Jempenit tekén Mén Jempenit,62, Kacarita Pan Jempenit teka lantas uli malali tur jemaka lantas bungkunge laut taplek-taplekanga di batune sing lantas nyak dadi mas batune,0,0,0,0,0,0,0,0,0,0,0,0
Siap Sangkur Metaluh Mas,124, Negak di ambene bengong sambilanga mabalih siapne para girang noltol jagung,0,0,0,0,0,0,0,0,0,0,0,0
Déwi Kunti Kawéhin Mantra Sakti,17,"Satondenne, Dewi sampun mamuja Hyang wus Betara sane kaacep ring kayun miwah mangkin pacang mapica nugraha ring Dewi kenten sabda Betara Surya ring desa ento.",0,0,0,0,0,0,0,0,1,0,0,0
I Belog Dadi Mantu,31, Keto nasibne Pan Sari ngelah mantu madan I Belog ane setata ngaenang ia jengah tur sakit hati,0,1,0,0,0,0,0,0,0,0,0,0
I Ubuh,89, Wireh tuara ada ane bani buin makecog I Ubuh paksana ajaka liu,0,0,0,0,0,0,0,0,0,0,0,1
Bojog Jegég,62,Tan parerenan ia ngaturang dahat paramasuksma ring Ida Sanghyang Embang kerana pinunasne suba kaisinin sakadi punika kahanane.,0,0,0,0,0,0,0,0,1,0,0,0
I Balu Kawanan tekén I Balu Kanginan,1,Kacerita ada anak muani maumah di Banjar Kawanan ngelah kurenan suba mati,0,1,0,0,0,0,0,0,0,0,0,0
Bé Jeleg Tresna Telaga,27, Sawireh ditu sing ja taen nyat yehne,0,0,0,0,0,0,0,0,0,0,0,0
I Kékér Tekén I Lutung,49,Sabilang semeng muah sanja masiksikan I Keker sambilanga namuhin kampidne kanti suba buin tumbuh bulu sakadi punika kahanane.,0,0,0,0,1,0,0,0,0,0,0,0
Sang Nandaka muah Prabu Singa Kapisuna,4, Pinaka pepatih madan Patih Sambada I Nohan teken I Tatit,0,0,0,0,0,0,0,0,0,0,0,0
I Bojog tekén I Kedis Sangsiah,14, Yan kapining Cai makejang i manusa marasa geting sawireh Cai kaucap meranan saluir tanem tuuhe,0,0,0,0,0,0,0,0,0,0,0,1
Pan Poleng,19, Mare ungkabange sokasine ajinange misi cicing meyong bikul miwah lipi,0,0,0,0,0,0,0,0,0,0,0,0
Bé Bano,87, Kliane nunden nglipetang pelase ento,0,0,0,0,0,0,0,0,0,0,0,0
Bhagawan Domia,26, Ne ada sampi inane ne nyen piara apang kanti ia manakan tur sida anggon Cening nglanturang urip Ceninge,0,0,0,0,0,0,0,0,0,0,0,0
Pedanda Baka,21,Kacerita suba akeh pisan ulam sane kakeberang raris ring pamargin kamangsa antuk Sang cangak,0,0,0,0,0,1,0,0,0,1,0,0
I Kepuh Mati Baan Drowaka,74, I Lelipi Raja mati tan Pangundili,0,1,0,0,0,0,0,0,0,0,0,0
Siap Selem,42, Orahang eben caine nu pait nu belig sing pantes daar malu,0,0,0,0,0,1,1,0,0,0,1,0
Sang Aji Dharma,32, Mara Ida Sang Prabu lakar macebur di apine ada kambing ngembek ngorahang anak lanang tusing dadi masatya teken anak luh,0,1,0,0,0,0,0,0,0,0,0,0
Ekalawya,3, Irika Sang Ekalawya makarya Arca Bhagawan Drona raris kagenahang ring tengahin goa,0,0,0,0,1,0,0,0,0,0,0,0
I Belog Kadéna Jaruh,35, Kengken anak nganten Lamun icang ngalih somah ane kengken melahne anggon icang somah Yan suba lantasan nganten ngudiang men gegaene nganten Me Keto pasautne I Belog,0,0,0,0,0,0,0,0,0,0,0,0
Pan Balang Tamak,16, kacerita suba neked jumah lantas desane paum maumang Pan Balang Tamak lakar kena danda krana ia tuara nuutang arah-arahe,0,0,0,0,0,0,0,0,0,0,0,0
Ayam Ijo Sambu,24, Sorene bongbong ida sareng para bebotohe ring bencingah jagat Pacangakan,0,0,0,0,0,0,0,0,0,0,0,0
Pan Balang Tamak,96, Suba kone pepek pada nyumbah lantas petine bungkaha nget bangken Pan Balang Tamake nyengku dadi tengkejut desane buin pada misuhin bangken Pan Balang Tamake,0,1,0,0,0,0,0,0,0,0,0,0
Lutung tekén Kancil,47,"Lantas, Lamun cai ngemang ake ngebug nyanan upaina nyambu agencet Nah lamon keto kema alihang awake nyambu masaut I Kancil ring desa ento.",0,0,1,0,0,0,0,0,0,0,0,0
I Lelipi tekén Sang Garuda,26,"Satondenne, Nah jani suba kone suud Sang Winata dadi pangempun para nagane uli dugas ento lantas Sang Garuda dadi palinggihan Ida batara Wisnu",0,0,0,0,1,0,0,0,0,0,0,0
Dadong Jepun,78, Ada ane gedeg ada ane medalem tur ada ane tusing nawang apa,0,0,0,0,0,0,0,0,0,0,0,0
I Celempung,16, Cicinge lakar anggon jaminan to aturang ka bale banjar,0,0,0,0,0,0,0,0,0,0,0,0
Pan Balang Tamak,40, Mara neked ditu enota Pan Balang Tamak jerit-jerit lantas takonina Apa kendehang Pan Balang Tamak Masaut Pan Balang Tamak kene pasautne Pangkung tra ada titina,0,0,0,0,0,0,0,0,0,0,0,0
Ni Bawang lan Ni Kesuna,15,"Lantas, Krana ngugu munyin Ni Kesuna ditu Ni Bawang lantas tigtiga siama aji yeh anget tur tundena magedi",0,1,0,0,0,0,0,0,0,1,0,1
I Tuung Kuning,24, Suba kone keto anake cerik ajaka lantas kumah memene,0,0,0,0,0,0,0,0,0,0,0,0
Yuyu Misi Enjekan Kebo Ditunduné,96,kruet,0,0,0,0,0,0,0,0,0,0,0,0
Jero Ketut,27, Ene madan kesempatan melah I Bikul kendel di kenehne,0,0,0,0,0,0,0,0,0,0,0,0
I Sampi masuwitra ajak Goak,62, ucap I Goak sambilanga nujuhang somi ane seletan di matane I Sampi,0,0,0,0,0,0,0,0,0,0,0,0
Sang Aji Saka,27, Tan kocap ring margi saget sampun rauh ring puri,0,0,0,0,0,0,0,0,0,0,0,0
Bengu Mati,44,"Sasampune punika, Sambilanga ngomong keto lantas bregedega memene ban I Belog paida entunganga ka semere",0,0,0,0,0,0,0,1,0,0,0,1
Sang Rama Ngemit Tapasui,5, Nanging nenten asue ida I rika saantukan kapireng wenten alas linggah madurgama mawasta alas Dandaka punika sane kajujur antuk Ida Sang Ragutama,0,0,0,0,0,0,0,0,0,0,0,0
Beras Kuning,80, Sane dados anggen manisan ri kala nanding pajengan,0,0,0,0,0,0,0,0,0,0,0,0
I Congeh Kacunduk Ratun Segara,7, Lan dibi sanja i dewek mangipiang ulungin bulan,0,0,0,0,0,0,0,0,0,0,0,0
I Congeh Kacunduk Ratun Segara,27, Ulame punika nenten ja nyengkalen nangin ulame punika masuara sekadi manusa,0,0,0,0,0,0,0,0,0,0,0,0
I Kasiapa Kepuh,8,Nah keto semayan ipun mekekalih Gelisang satua I Goak lantas mejalan ngalih bangke ane suba berek luire tendas batis lima miwah basing ento mekejang keglantingang di carang punyan Kasiape Kepuh ring genah punika.,0,0,0,1,0,0,0,0,0,0,0,0
I Lelipi Gadang tekén I Katak,38,Yan kudang dina kaden sampun majalan pangaptine I Lelipi Gadang jani ada kone bayune jagi ngamah katake,0,0,0,0,0,1,0,0,0,0,0,0
Pan Angklung Gadang,75, bek jejel anake mabalih muah dagang sarwa endah ada ngadep woh-wohan ada madagang nasi dagang tuak buin dagang magenep sing bakat baan nyarca,0,0,0,0,0,0,0,0,0,0,0,0
Bhagawan Domia,7, Singgih Ratu Bhagawan paragayan Hyang Pramesti Guru,0,0,0,0,0,0,0,0,0,0,0,0
Siap Sangkur Metaluh Mas,17, I Grungsang sabilang semeng satonden matanaine endag ia makekruyuk jangih Ku-kuruyuuuuuk,0,0,0,0,0,0,0,0,0,0,0,0
Bhagawan Domia,4, Kacerita mabaos Ida ring sisiane makatiga Nah Cening sisian bapa ajak tetelu,0,0,0,0,0,0,0,0,0,0,0,0
Dadong Jepun,67, Kengken unduke ene Matakon Dadong Jepun ada lantas anak nyautin,0,0,0,0,0,0,0,0,0,0,0,0
